generation,id,novelty,score,species,parent1,parent2
0,24,67.68990543424239,0.7325023239392674,1,-1,-1
1,458,65.33959757906602,0.7530243359682581,3,245,65
2,660,42.918278955113095,0.7399257600530555,3,104,104
3,660,37.24471427252053,0.7399257600530555,3,104,104
4,660,35.67294191150412,0.7399257600530555,3,104,104
5,660,30.40927848924949,0.7399257600530555,1,104,104
6,660,31.17215700962279,0.7399257600530555,5,104,104
7,2255,24.223234960051546,0.03148726071377654,5,2032,2017
8,660,36.95720890187953,0.7399257600530555,5,104,104
9,660,28.0716922284652,0.7399257600530555,5,104,104
10,660,28.619001907838925,0.7399257600530555,3,104,104
11,660,33.077603422938985,0.7399257600530555,3,104,104
12,660,26.71120082838319,0.7399257600530555,3,104,104
13,3916,36.659762605791684,0.3557665515603544,5,2876,3635
14,3916,39.280110392153944,0.3557665515603544,5,2876,3635
15,3916,39.61163759941503,0.3557665515603544,5,2876,3635
16,3916,41.79119746950542,0.3557665515603544,5,2876,3635
17,3916,41.1143370614941,0.3557665515603544,5,2876,3635
18,5457,179.92946596791896,0.1099763309663829,5,5156,4884
19,5457,175.83730148600952,0.1099763309663829,5,5156,4884
20,5457,178.70164967350644,0.1099763309663829,5,5156,4884
21,5457,167.4015441940102,0.1099763309663829,5,5156,4884
22,5457,170.61924973676133,0.1099763309663829,5,5156,4884
23,6678,166.82948553021876,0.020983298754331185,5,6601,6601
24,6678,147.92276410750523,0.020983298754331185,5,6601,6601
25,6678,135.26821474056155,0.020983298754331185,5,6601,6601
