generation,id,block density,actuator density,fitness,parent
0,1,21,1,6.591818,[-1]
1,7,25,21,5.694572,"(25, 22)"
2,8,25,14,10.571356,"(25, 0)"
3,15,25,23,6.633216,"(25, 21)"
4,16,25,15,10.565686,"(25, 14)"
5,20,25,20,10.576386,"(25, 14)"
6,27,20,20,10.561581,"(22, 22)"
7,31,25,10,10.569194,"(25, 10)"
8,32,25,25,10.574158,"(25, 15)"
9,36,25,20,10.570078,"(25, 22)"
10,42,25,20,10.572584,"(22, 22)"
11,47,25,2,7.803127,"(25, 13)"
12,48,20,20,10.57147,"(20, 20)"
13,52,25,24,7.044429,"(25, 22)"
14,58,25,2,7.319128,"(25, 23)"
15,60,25,16,5.27776,"(25, 7)"
16,67,23,22,10.559706,"(25, 2)"
17,71,25,20,10.571866,"(25, 15)"
18,74,25,0,6.311488,"(24, 4)"
19,77,7,7,4.073482,"(20, 7)"
20,80,12,0,4.058119,"(12, 0)"
21,86,25,23,10.571158,"(25, 25)"
22,91,15,8,10.575685,"(25, 23)"
23,92,25,7,10.58448,"(15, 8)"
24,96,25,25,10.575294,"(20, 7)"
25,103,25,11,10.583312,"(25, 7)"
26,105,25,13,10.57892,"(25, 7)"
27,108,16,16,10.600067,"(25, 25)"
28,112,13,13,10.643309,"(7, 7)"
29,118,10,10,10.56973,"(25, 7)"
30,120,12,12,10.624306,"(16, 16)"
31,127,23,0,8.177813,"(13, 0)"
32,129,13,5,4.341646,"(25, 6)"
33,134,24,13,10.564788,"(24, 14)"
34,137,20,20,7.594716,"(20, 20)"
35,142,11,0,10.568523,"(25, 7)"
36,145,25,15,10.571128,"(25, 19)"
37,150,16,3,10.515848,"(21, 1)"
38,153,25,14,10.58235,"(15, 8)"
39,156,23,9,10.546353,"(16, 3)"
40,160,21,21,10.590593,"(25, 22)"
41,167,24,15,10.554997,"(25, 17)"
42,169,13,0,7.964138,"(23, 0)"
43,174,20,15,10.621798,"(24, 15)"
44,179,25,12,9.25768,"(7, 7)"
45,180,13,1,10.480473,"(17, 5)"
46,186,9,9,5.849614,"(21, 21)"
47,191,25,23,10.573561,"(10, 10)"
48,193,17,17,10.637419,"(21, 21)"
49,199,20,0,7.365388,"(25, 7)"
50,200,25,7,5.238549,"(24, 14)"
51,205,5,0,7.434951,"(18, 0)"
52,209,25,12,8.23431,"(15, 15)"
53,215,25,24,10.574978,"(25, 6)"
54,216,21,21,10.559701,"(16, 16)"
55,221,25,19,10.563103,"(25, 22)"
56,224,25,14,10.571978,"(22, 20)"
57,228,25,10,8.093842,"(25, 12)"
58,233,9,7,4.525773,"(24, 14)"
59,238,21,18,10.559614,"(23, 22)"
60,243,25,15,10.571639,"(25, 10)"
61,247,25,11,10.573858,"(15, 10)"
62,248,25,19,10.571713,"(25, 21)"
63,254,13,13,10.662683,"(9, 9)"
64,257,25,6,10.574621,"(25, 10)"
65,262,25,19,10.568603,"(20, 19)"
66,266,25,25,10.57222,"(22, 22)"
67,270,25,18,10.573641,"(11, 0)"
68,272,12,12,10.639364,"(12, 12)"
69,279,20,18,10.571278,"(10, 10)"
70,283,15,10,10.571608,"(15, 15)"
71,286,25,21,10.57651,"(15, 8)"
72,291,20,0,6.531813,"(17, 0)"
73,294,15,0,10.517818,"(17, 5)"
74,296,21,1,8.096482,"(23, 9)"
75,301,20,0,6.24885,"(15, 0)"
76,304,15,15,10.629587,"(16, 16)"
77,310,14,14,10.600228,"(16, 16)"
78,312,19,17,10.53976,"(20, 19)"
79,319,19,19,10.627947,"(9, 9)"
80,320,23,23,10.585896,"(25, 25)"
81,324,25,21,10.570644,"(24, 14)"
82,329,14,14,10.569186,"(9, 7)"
83,333,9,9,10.563703,"(16, 1)"
84,338,5,5,4.728338,"(24, 19)"
85,343,25,22,10.560591,"(25, 9)"
86,345,20,3,8.071657,"(24, 11)"
87,348,11,11,8.602935,"(16, 16)"
88,353,25,2,8.081347,"(15, 8)"
89,356,25,7,9.117567,"(24, 2)"
90,362,11,11,10.624269,"(13, 13)"
91,366,25,10,6.45469,"(14, 13)"
92,370,23,12,8.945976,"(21, 18)"
93,373,25,25,10.570273,"(23, 22)"
94,377,23,19,10.560839,"(22, 22)"
95,380,24,18,10.565687,"(24, 18)"
96,386,25,10,10.574416,"(25, 15)"
97,391,15,15,10.576025,"(20, 20)"
98,395,14,5,10.57106,"(11, 0)"
99,398,25,21,10.577768,"(17, 17)"
