iteration,key,parent
0,0,
60,3,0
120,20,3
150,28,0
180,33,20
210,44,20
240,51,28
270,62,0
330,82,20
360,96,82
390,101,62
420,120,62
450,127,62
510,141,120
540,154,33
600,179,51
630,190,96
660,191,179
690,203,154
720,220,191
750,226,220
780,232,191
810,245,226
840,259,245
870,261,259
900,273,226
930,284,226
960,299,203
990,310,261
1020,318,226
1050,324,232
1080,338,324
1110,345,318
1140,354,273
1170,362,318
1200,378,273
1230,383,338
1260,398,362
1290,401,362
1320,417,345
1350,426,354
1380,432,426
1410,444,362
1440,454,426
1470,466,362
1500,474,426
1530,488,444
1560,494,444
1590,508,426
1620,511,494
1650,521,454
1680,540,488
1710,545,494
1740,558,545
1770,564,540
1800,576,564
1830,586,576
1860,591,511
1890,604,521
1920,620,558
1950,629,564
1980,631,591
2010,646,620
2040,652,604
2070,664,652
2100,673,629
2130,684,664
2160,695,591
2190,706,684
2220,719,620
2250,722,646
2280,738,646
2310,749,673
2340,759,673
2370,764,684
2400,774,695
2430,789,774
2460,796,738
2490,804,722
2520,813,804
2550,830,738
2580,839,774
2610,848,789
2640,851,804
2670,866,796
2700,871,774
2730,883,804
2760,897,804
2790,906,848
2820,912,848
2850,927,906
2880,931,912
2910,942,851
2940,955,871
2970,967,871
